Position_x,Position_y,value
0.7,0.675,1.52822
0.725,0.675,1.52822
0.75,0.675,1.52821
0.775,0.675,1.52822
0.8,0.675,1.52835
0.825,0.675,1.52855
0.85,0.675,1.52663
0.875,0.675,1.5192
0.9,0.675,1.52764
0.925,0.675,1.63291
0.95,0.675,1.82476
0.975,0.675,1.53661
1,0.675,-0.5
0,0.65,1.5
0.025,0.65,1.52767
0.05,0.65,1.53043
0.075,0.65,1.52881
0.1,0.65,1.5282
0.125,0.65,1.52818
0.15,0.65,1.52821
0.175,0.65,1.52822
0.2,0.65,1.52822
0.225,0.65,1.52822
0.25,0.65,1.52822
0.275,0.65,1.52822
0.3,0.65,1.52822
0.325,0.65,1.52822
0.35,0.65,1.52822
0.375,0.65,1.52822
0.4,0.65,1.52822
0.425,0.65,1.52822
0.45,0.65,1.52822
0.475,0.65,1.52822
0.5,0.65,1.52822
0.525,0.65,1.52822
0.55,0.65,1.52822
0.575,0.65,1.52822
0.6,0.65,1.52822
0.625,0.65,1.52822
0.65,0.65,1.52822
0.675,0.65,1.52822
0.7,0.65,1.52822
0.725,0.65,1.52822
0.75,0.65,1.52821
0.775,0.65,1.52822
0.8,0.65,1.52835
0.825,0.65,1.52855
0.85,0.65,1.52663
0.875,0.65,1.5192
0.9,0.65,1.52764
0.925,0.65,1.63291
0.95,0.65,1.82476
0.975,0.65,1.53661
1,0.65,-0.5
0,0.625,1.5
0.025,0.625,1.52767
0.05,0.625,1.53043
0.075,0.625,1.52881
0.1,0.625,1.5282
0.125,0.625,1.52818
0.15,0.625,1.52821
0.175,0.625,1.52822
0.2,0.625,1.52822
0.225,0.625,1.52822
0.25,0.625,1.52822
0.275,0.625,1.52822
0.3,0.625,1.52822
0.325,0.625,1.52822
0.35,0.625,1.52822
0.375,0.625,1.52822
0.4,0.625,1.52822
0.425,0.625,1.52822
0.45,0.625,1.52822
0.475,0.625,1.52822
0.5,0.625,1.52822
0.525,0.625,1.52822
0.55,0.625,1.52822
0.575,0.625,1.52822
0.6,0.625,1.52822
0.625,0.625,1.52822
0.65,0.625,1.52822
0.675,0.625,1.52822
0.7,0.625,1.52822
0.725,0.625,1.52822
0.75,0.625,1.52821
0.775,0.625,1.52822
0.8,0.625,1.52835
0.825,0.625,1.52855
0.85,0.625,1.52663
0.875,0.625,1.5192
0.9,0.625,1.52764
0.925,0.625,1.63291
0.95,0.625,1.82476
0.975,0.625,1.53661
1,0.625,-0.5
0,0.6,1.5
0.025,0.6,1.52767
0.05,0.6,1.53043
0.075,0.6,1.52881
0.1,0.6,1.5282
0.125,0.6,1.52818
0.15,0.6,1.52821
0.175,0.6,1.52822
0.2,0.6,1.52822
0.225,0.6,1.52822
0.25,0.6,1.52822
0.275,0.6,1.52822
0.3,0.6,1.52822
0.325,0.6,1.52822
0.35,0.6,1.52822
0.375,0.6,1.52822
0.4,0.6,1.52822
0.425,0.6,1.52822
0.45,0.6,1.52822
0.475,0.6,1.52822
0.5,0.6,1.52822
0.525,0.6,1.52822
0.55,0.6,1.52822
0.575,0.6,1.52822
0.6,0.6,1.52822
0.625,0.6,1.52822
0.65,0.6,1.52822
0.675,0.6,1.52822
0.7,0.6,1.52822
0.725,0.6,1.52822
0.75,0.6,1.52821
0.775,0.6,1.52822
0.8,0.6,1.52835
0.825,0.6,1.52855
0.85,0.6,1.52663
0.875,0.6,1.5192
0.9,0.6,1.52764
0.925,0.6,1.63291
